"ComputerName","IPAddress","Result"
"XEN7MCSE102C1.MDATURBINES.com","10.100.10.236","Success"
"XEN7MCSE102C2.MDATURBINES.com","10.100.10.237","Success"
"XEN7MCSE102D1.MDATURBINES.com","10.100.10.238","Success"
"XEN7MCSE102D2.MDATURBINES.com","10.100.10.239","Success"
"XEN7MCSE102XLC1.MDATURBINES.com","192.168.1.208","Success"
"XEN7-MCS-E10-A1.MDATURBINES.com","192.168.1.206","Success"
"XEN7-MCS-LOB-1.MDATURBINES.com","192.168.1.202","Success"
"XEN7-MCS-LOB-2.MDATURBINES.com","192.168.1.199","Success"
"XEN7MCSXLCP1.MDATURBINES.com","192.168.1.201","Success"
"XEN7MCSXLCPB1.MDATURBINES.com","192.168.1.196","Success"
"XEN7-SSC-E10-A1.MDATURBINES.com","10.100.10.235","Success"
"XEN7-SSC-E10-A2.MDATURBINES.com","10.100.10.234","Success"
"XEN7-SSC-E10-B1.MDATURBINES.com","10.100.10.232","Success"
"XEN7-SSC-E10-B2.MDATURBINES.com","10.100.10.233","Success"
"XEN7-SSC-SFT-A1.MDATURBINES.com","10.100.10.230","Success"
"XEN7-SSC-SFT-B1.MDATURBINES.com","10.100.10.231","Success"
